text,label,panjang_pesan,jumlah_kata,ada_url,jumlah_url,angka_telepon,kata_mendesak,kata_hadiah,kata_sensitif,nama_brand,jumlah_tanda_seru,jumlah_angka,jumlah_huruf_kapital,rasio_huruf_kapital,simbol,panjang_url,url_https,jumlah_titik_url,jumlah_strip_url,jumlah_subdomain,url_singkat,domain_indo,ip_di_url
"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",1,153,26,0,0,0,0,1,0,0,0,8,42,0.3783783783783784,0,0,0,0,0,0,0,0,0
2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,1,152,25,0,0,0,1,1,0,0,0,18,12,0.12,0,0,0,0,0,0,0,0,0
"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",1,152,21,1,1,0,0,0,0,0,0,20,10,0.10309278350515463,0,19,0,1,0,0,0,0,0
"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",1,153,21,1,1,0,0,0,0,0,0,21,10,0.10309278350515463,0,19,0,1,0,0,0,0,0
4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,1,113,18,0,0,0,1,0,0,0,1,12,10,0.13333333333333333,0,0,0,0,0,0,0,0,0
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,1,153,24,0,0,0,0,1,0,0,1,8,20,0.17094017094017094,0,0,0,0,0,0,0,0,0
"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",1,140,21,0,0,0,0,0,0,0,0,21,12,0.15,0,0,0,0,0,0,0,0,0
Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,1,140,21,0,0,0,0,0,0,0,1,13,7,0.07216494845360824,0,0,0,0,0,0,0,0,0
"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",1,321,55,0,0,0,0,0,0,0,1,34,45,0.21739130434782608,0,0,0,0,0,0,0,0,0
Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,1,114,17,0,0,0,0,1,0,0,1,3,4,0.0449438202247191,0,0,0,0,0,0,0,0,0
Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,1,124,16,0,0,0,0,0,0,0,0,0,17,0.1619047619047619,0,0,0,0,0,0,0,0,0
Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,1,304,47,0,0,0,0,0,0,0,0,20,25,0.11061946902654868,0,0,0,0,0,0,0,0,0
"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet",1,250,32,1,1,0,0,0,0,0,0,9,27,0.13636363636363635,0,14,0,1,0,0,0,0,0
"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",1,157,24,0,0,0,0,1,0,0,0,0,8,0.0625,0,0,0,0,0,0,0,0,0
Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,1,124,19,0,0,0,0,1,0,0,0,2,14,0.13861386138613863,0,0,0,0,0,0,0,0,0
Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,1,159,25,0,0,0,0,0,0,0,0,13,13,0.11403508771929824,0,0,0,0,0,0,0,0,0
