Dataset,Nama Kolom,Tipe Data,Jumlah Null,Deskripsi
dataset_sms_spam_v2,Teks,object,0,Isi teks pesan
dataset_sms_spam_v2,label,object,0,Label kategori pesan
sms_spam_indo,Kategori,object,0,Label pesan spam atau ham
sms_spam_indo,Pesan,object,0,Isi pesan SMS
email_spam_indo,Kategori,object,0,Label email spam atau ham
email_spam_indo,Pesan,object,0,Isi email
dataset_multilingual,Unnamed: 0,int64,0,Index baris dataset
dataset_multilingual,labels,object,0,Label kelas: ham / spam
dataset_multilingual,text,object,0,Teks pesan asli bahasa Inggris
dataset_multilingual,text_hi,object,0,Teks bahasa Hindi
dataset_multilingual,text_de,object,0,Teks bahasa Jerman
dataset_multilingual,text_fr,object,0,Teks bahasa Prancis
dataset_multilingual,text_es,object,0,Teks bahasa Spanyol
dataset_multilingual,text_zh,object,26,Teks bahasa Mandarin
dataset_multilingual,text_ar,object,1,Teks bahasa Arab
dataset_multilingual,text_bn,object,0,Teks bahasa Bengali
dataset_multilingual,text_ru,object,0,Teks bahasa Rusia
dataset_multilingual,text_pt,object,0,Teks bahasa Portugis
dataset_multilingual,text_ja,object,0,Teks bahasa Jepang
dataset_multilingual,text_id,object,0,Teks bahasa Indonesia
dataset_multilingual,text_ur,object,0,Teks bahasa Urdu
dataset_multilingual,text_pa,object,0,Teks bahasa Punjabi
dataset_multilingual,text_jv,object,0,Teks bahasa Jawa
dataset_multilingual,text_tr,object,0,Teks bahasa Turki
dataset_multilingual,text_ko,object,56,Teks bahasa Korea
dataset_multilingual,text_mr,object,0,Teks bahasa Marathi
dataset_multilingual,text_uk,object,0,Teks bahasa Ukraina
dataset_multilingual,text_sv,object,0,Teks bahasa Swedia
dataset_multilingual,text_no,object,0,Teks bahasa Norwegia
PhiUSIIL_Phishing_URL,FILENAME,object,0,Nama file HTML
PhiUSIIL_Phishing_URL,URL,object,0,URL yang dianalisis
PhiUSIIL_Phishing_URL,URLLength,int64,0,Panjang karakter URL
PhiUSIIL_Phishing_URL,Domain,object,0,Nama domain
PhiUSIIL_Phishing_URL,DomainLength,int64,0,Panjang domain
PhiUSIIL_Phishing_URL,IsDomainIP,int64,0,Apakah domain berupa IP address
PhiUSIIL_Phishing_URL,TLD,object,0,Top-level domain
PhiUSIIL_Phishing_URL,URLSimilarityIndex,float64,0,-
PhiUSIIL_Phishing_URL,CharContinuationRate,float64,0,-
PhiUSIIL_Phishing_URL,TLDLegitimateProb,float64,0,-
PhiUSIIL_Phishing_URL,URLCharProb,float64,0,-
PhiUSIIL_Phishing_URL,TLDLength,int64,0,-
PhiUSIIL_Phishing_URL,NoOfSubDomain,int64,0,Jumlah subdomain
PhiUSIIL_Phishing_URL,HasObfuscation,int64,0,-
PhiUSIIL_Phishing_URL,NoOfObfuscatedChar,int64,0,-
PhiUSIIL_Phishing_URL,ObfuscationRatio,float64,0,-
PhiUSIIL_Phishing_URL,NoOfLettersInURL,int64,0,-
PhiUSIIL_Phishing_URL,LetterRatioInURL,float64,0,-
PhiUSIIL_Phishing_URL,NoOfDegitsInURL,int64,0,-
PhiUSIIL_Phishing_URL,DegitRatioInURL,float64,0,-
